dataset_id,dataset_name,accession,download_url
villacampa2021_ovarian_visium,Human ovarian cancer FFPE Visium,GSE185715,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185715/suppl/GSE185715_RAW.tar
li2025_stereo,Zebrafish heart regeneration atlas,GSE153481,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153481/suppl/GSE153481_RAW.tar
li2025_stereo,Zebrafish heart regeneration atlas,GSE188888,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188888/suppl/GSE188888_RAW.tar
sanchezferras2021_spatial_tran,Urinary tract development dataset,GSE143806,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143806/suppl/GSE143806_RAW.tar
sanchezferras2021_spatial_tran,Urinary tract development dataset,GSE160136,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160136/suppl/GSE160136_50perc_Epcam_SC-6_repABC_filtered_feature_bc_matrix.h5
sanchezferras2021_spatial_tran,Urinary tract development dataset,GSE160137,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160137/suppl/GSE160137_RAW.tar
hunter2021_spatial_tran,Zebrafish tumor-microenvironment dataset,10.5281/zenodo.5512629,https://zenodo.org/api/records/5512629/files-archive
andrews2022_spatial_tran,Healthy human liver spatial RNA-seq,GSE185477,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185477/suppl/GSE185477_GSM3178784_C41_SC_raw_counts.zip
akeret2022_spatial_tran,Mouse brain heme injection spatial transcriptome,GSE182127,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182127/suppl/GSE182127_RAW.tar
andersson2020_st_2,Mouse brain ST dataset (Andersson et al.),10.5281/zenodo.3951884,https://zenodo.org/api/records/3951884/files-archive
de2025_unknown,CRC-HD,10.5281/zenodo.15042463,https://zenodo.org/api/records/15042463/files-archive
de2025_unknown,CRC-HD,GSE280318,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280318/suppl/GSE280318_RAW.tar
de2025_unknown,CRC-HD,zenodo.org/records/15042463,https://zenodo.org/api/records/15042463/files-archive
huang2024_merfish,Mouse ovary MERFISH dataset,10.5281/zenodo.3758540,https://zenodo.org/api/records/3758540/files-archive
huang2024_merfish,Mouse ovary MERFISH dataset,GSE294534,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294534/suppl/GSE294534_10x_update.rds
boersma2020_seqfish,seqFISH cell culture dataset,GSE159280,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159280/suppl/GSE159280_HUB-SB.tsv.gz
ma2022_masp_microsc,mouse brain coronal spatial proteomics data,10.5281/zenodo.7320146,https://zenodo.org/api/records/7320146/files-archive
nobori2025_spatial_tran,mature rosette leaf spatial dataset,GSE248054,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248054/suppl/GSE248054_count_table.txt.gz
nikopoulou2023_visium,10x Visium (mouse liver dataset),10.5281/zenodo.5986130,https://zenodo.org/api/records/5986130/files-archive
lake2019_snrnaseq,human kidney snRNAseq dataset,GSE109564,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109564/suppl/GSE109564_Kidney.biopsy.dge.txt.gz
lake2019_snrnaseq,human kidney snRNAseq dataset,GSE114156,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114156/suppl/GSE114156_Human.kidney.dge.txt.gz
taylor2020_singlecell_r,single-cell transcriptomes for all neuronal cell types,GSE136049,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136049/suppl/GSE136049_c_elegans.PRJNA13758.WS273.canonical_geneset.extend3UTR_optimized.gtf.gz
li2022_unknown_2,spatial transcriptomics data from a recent clinical trial of neoadjuvant immunotherapies for pancreatic ductal adenocarcinoma (PDAC),10.5281/zenodo.1185418,https://zenodo.org/api/records/1185418/files-archive
ren2023_visium,Ren et al. 2023,GSM3828672,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3828nnn/GSM3828672/suppl/GSM3828672_Smartseq2_GBM_IDHwt_processed_TPM.tsv.gz
akeret2022_unknown,Coronal Mouse Brain Dataset,GSE182127,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182127/suppl/GSE182127_RAW.tar
van2021_imc,Mouse lung cancer dataset,10.5281/zenodo.5412513,https://zenodo.org/api/records/5412513/files-archive
zhang2023_visium,Visium spatial transcriptomics,10.5281/zenodo.8210185,https://zenodo.org/api/records/8210185/files-archive
zhang2023_visium,Visium spatial transcriptomics,GSE238264,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE238nnn/GSE238264/suppl/GSE238264_RAW.tar
vannan2025_xenium,human lung fibrosis data,10.5281/zenodo.11562577,https://zenodo.org/api/records/11562577/files-archive
vannan2025_xenium,human lung fibrosis data,10.5281/zenodo.14538392,https://zenodo.org/api/records/14538392/files-archive
