dataset_id,dataset_name,platform,modality,is_spatial,species,tissue,disease,perturbation,n_samples,data_access_link,download_url,data_downloadable,original_publication,original_publication_link,original_publication_year,first_published_by_model_paper,candidate_accessions,notes
maynard2021_dlpfc_visium,Human dorsolateral prefrontal cortex (spatialLIBD),10x Visium,spatial transcriptomics,yes,human,prefrontal cortex,healthy,,12,http://research.libd.org/spatialLIBD/,,yes (http 200),"Maynard et al., Nature Neuroscience 24, 425-436 (2021)",https://doi.org/10.1038/s41593-021-00817-5,2021,no,,
villacampa2021_ovarian_visium,Human ovarian cancer FFPE Visium,10x Visium,spatial transcriptomics,yes,human,ovary,ovarian cancer,,2,,,,"Villacampa et al., Cell Genomics 1 (2021)",https://doi.org/10.1016/j.xgen.2021.100065,2021,no,10.17632/xjtv62ncwr.1; GSE185715,
mirzazadeh2023_smallintestine_visium,Human small intestine Visium (degraded/challenging FF samples),10x Visium,spatial transcriptomics,yes,human,small intestine,healthy,,12,https://zenodo.org/api/records/7524632,https://zenodo.org/api/records/7524632/files/ludvigla/RRST-v1.0.1.zip/content,,"Mirzazadeh et al., Nature Communications 14, 509 (2023)",https://doi.org/10.1038/s41467-023-36071-5,2023,no,,"accession 10.5281/zenodo.7524632 found in the original publication (sole accession in that paper), verified live"
farah2024_developing_heart_merfish,Developing human heart MERFISH,MERFISH,spatial transcriptomics,yes,human,heart (developing),healthy,,3,https://doi.org/10.5061/dryad.w0vt4b8vp,,,"Farah et al., Nature 627, 854-864 (2024)",https://doi.org/10.1038/s41586-024-07171-z,2024,no,,data deposit on Dryad
moffitt2018_preoptic_merfish,Mouse hypothalamic preoptic region MERFISH,MERFISH,spatial transcriptomics,yes,mouse,preoptic hypothalamus,healthy,,5,,,,"Moffitt et al., Science 362, eaau5324 (2018)",https://doi.org/10.1126/science.aau5324,2018,no,,"DRIFT also cites Li & Zhou (BASS), Genome Biology 23, 168 (2022) for the processed version"
zhang2023_whole_mouse_brain_merfish,Whole mouse brain MERFISH cell atlas,MERFISH,spatial transcriptomics,yes,mouse,brain,healthy,,15,,,,"Zhang et al., Nature 624, 343-354 (2023)",https://doi.org/10.1038/s41586-023-06808-9,2023,no,,
allen2023_aging_brain_merfish,Mouse aging brain MERFISH,MERFISH,spatial transcriptomics,yes,mouse,brain (aging),healthy/aging,,12,,,,"Allen et al., Cell 186, 194-208 (2023)",https://doi.org/10.1016/j.cell.2022.12.010,2023,no,,
chen2022_mosta_stereoseq,Mouse organogenesis spatiotemporal atlas (MOSTA),Stereo-seq,spatial transcriptomics,yes,mouse,embryo,healthy,,4,https://db.cngb.org/stomics/mosta/,,yes (http 200),"Chen et al., Cell 185, 1777-1792 (2022)",https://doi.org/10.1016/j.cell.2022.04.003,2022,no,,
bruker_cosmx_nsclc_ffpe,CosMx NSCLC FFPE dataset,CosMx,spatial transcriptomics,yes,human,lung,non-small cell lung cancer,,8,https://brukerspatialbiology.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/nsclc-ffpe-dataset/,,yes (s3 public share),He et al. 2022 Nat Biotechnol,https://doi.org/10.1038/s41587-022-01483-z,2022,no,,"8 FFPE sections from 5 NSCLC donors, 960-plex CosMx RNA panel on a prototype instrument; flat files under s3://nanostring-public-share/SMI-Compressed/ need no credentials. The vendor page calls it an open-source dataset with no primary paper, but the data is the NSCLC half of He et al. 2022."
10x_xenium_prime_skin_melanoma,Xenium Prime FFPE human skin (melanoma),Xenium,spatial transcriptomics,yes,human,skin,melanoma,,1,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,https://cf.10xgenomics.com/samples/xenium/3.0.0/Xenium_Prime_Human_Skin_FFPE/Xenium_Prime_Human_Skin_FFPE_xe_outs.zip,yes (http 200),10x Genomics (vendor dataset),https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,,no,,"vendor-released dataset, no primary paper"
terra_iss_cartana_reproductive_tract,ISS CARTANA healthy human reproductive tract,ISS (CARTANA),spatial transcriptomics,yes,human,reproductive tract,healthy,,6,,,,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,2026,yes,,in-house data first published in the TERRA paper (held-out assay)
terra_xenium_skin_atlas,"Xenium human skin niche atlas (19 patients, ~1.1M cells)",Xenium,spatial transcriptomics,yes,human,skin,,,79,,,,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,2026,yes,,in-house; TERRA cites ref 116 alongside - confirm whether separately published
terra_xenium_fetal_pancreas,"Xenium developing human pancreas (7 stages, 8 donors)",Xenium 5K + custom panel,spatial transcriptomics,yes,human,pancreas (fetal),healthy,,12,,,,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,2026,yes,,in-house data first published in the TERRA paper
terra_xenium_adult_pancreas_npod,Xenium adult human pancreas (nPOD donors),Xenium 5K + custom panel,spatial transcriptomics,yes,human,pancreas,healthy,,4,,,,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,https://doi.org/10.64898/2026.07.29.741565,2026,yes,,in-house data first published in the TERRA paper
cellxgene_mouse_brain_merfish_benchmark,Mouse brain MERFISH (cellxgene collection),MERFISH,spatial transcriptomics,yes,mouse,brain,healthy,,,https://cellxgene.cziscience.com/collections/0cc8620-8dee-45d0-aef5-23f032a5cf09,,yes (http 200),to resolve,,,no,,original publication to resolve (likely Zhang et al. 2023 whole-brain atlas; confirm)
zenodo_starmap_mouse_brain_benchmark,Mouse brain STARmap (Zenodo 8327576),STARmap,spatial transcriptomics,yes,mouse,brain,healthy,,,https://zenodo.org/records/8327576,https://zenodo.org/api/records/8327576/files/sagittal3processed_expression_pd.csv/content,"yes (zenodo record, 83 files)",to resolve,,,no,,original publication to resolve from the Zenodo record
allam2022spatially,Spatially variant immune infiltration scoring in human cancer tissues,IMC,spatial proteomics,yes,human,lung,lung cancer,,26,https://zenodo.org/records/6784253,https://zenodo.org/api/records/6784253/files/IMC_data.zip/content,"yes (zenodo record, 1 files)",Spatially variant immune infiltration scoring in human cancer tissues,https://www.nature.com/articles/s41698-022-00305-4,2022,no,,from the spora corpus (spora.epfl.ch)
borner2025collection,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program,CODEX,spatial proteomics,yes,human,,,,15,https://portal.hubmapconsortium.org/search/datasets,,yes (http 200),The human body at cellular resolution: the NIH Human Biomolecular Atlas Program,https://www.nature.com/articles/s41586-019-1629-x,2025,no,,from the spora corpus (spora.epfl.ch)
cho2025modeling,Modeling cellular influence delineates functionally relevant cellular neighborhoods in primary and metastatic pancreatic ductal adenocarcinoma,IMC,spatial proteomics,yes,human,pancreatic,pancreatic cancer,,12,https://zenodo.org/records/15601931,https://zenodo.org/api/records/15601931/files/TMA1598%20A1-A3%20A5-F1.mcd/content,"yes (zenodo record, 7 files)",Modeling cellular influence delineates functionally relevant cellular neighborhoods in primary and metastatic pancreatic ductal adenocarcinoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC12262348/,2025,no,,from the spora corpus (spora.epfl.ch)
cords2023cancer,Cancer-associated fibroblast classification in single-cell and spatial proteomics data,IMC,spatial proteomics,yes,human,breast,breast cancer,,12,https://zenodo.org/records/7540604,https://zenodo.org/api/records/7540604/files/ometiff.zip/content,"yes (zenodo record, 5 files)",Cancer-associated fibroblast classification in single-cell and spatial proteomics data,https://www.nature.com/articles/s41467-023-39762-1,2023,no,,from the spora corpus (spora.epfl.ch)
cords2024cancer,Cancer-associated fibroblast phenotypes are associated with patient outcome in non-small cell lung cancer,IMC,spatial proteomics,yes,human,lung,lung cancer,,1361,https://zenodo.org/records/7961844,https://zenodo.org/api/records/7961844/files/SingleCellExperiment%20Objects.zip/content,"yes (zenodo record, 24 files)",Cancer-associated fibroblast phenotypes are associated with patient outcome in non-small cell lung cancer,https://www.cell.com/cancer-cell/fulltext/S1535-6108(23)00449-X,2024,no,,from the spora corpus (spora.epfl.ch)
damond2019map,A map of human type 1 diabetes progression by imaging mass cytometry,IMC,spatial proteomics,yes,human,,,,12,https://data.mendeley.com/datasets/cydmwsfztj/1,,yes (http 200),A map of human type 1 diabetes progression by imaging mass cytometry,https://www.cell.com/cell-metabolism/fulltext/S1550-4131(18)30691-0,2019,no,,from the spora corpus (spora.epfl.ch)
danenberg2022breast,Breast tumor microenvironment structures are associated with genomic features and clinical outcome,IMC,spatial proteomics,yes,human,breast,breast cancer,,718,https://zenodo.org/records/5850952,https://zenodo.org/api/records/5850952/files/METABRICBreastCancerIMCTME.zip/content,"yes (zenodo record, 1 files)",Breast tumor microenvironment structures are associated with genomic features and clinical outcome,https://www.nature.com/articles/s41588-022-01041-y,2022,no,,from the spora corpus (spora.epfl.ch)
ehret2025shaking,"Shaking organoid co-cultures: human-relevant models of epithelial, stromal and immune interactions for cancer research and immunotherapy development",IMC,spatial proteomics,yes,human,colorectal,colorectal cancer,,55,https://zenodo.org/records/15198804,https://zenodo.org/api/records/15198804/files/raw_data.zip/content,"yes (zenodo record, 2 files)","Shaking organoid co-cultures: human-relevant models of epithelial, stromal and immune interactions for cancer research and immunotherapy development",https://zenodo.org/records/15198804,2025,no,,from the spora corpus (spora.epfl.ch)
fischer2023multiplex,Multiplex imaging of breast cancer lymph node metastases identifies prognostic single-cell populations independent of clinical classifiers,IMC,spatial proteomics,yes,human,breast,breast cancer,,892,https://doi.org/10.5281/zenodo.7494727,https://zenodo.org/api/records/7494727/files/tiff_stacks_and_masks.zip/content,"yes (zenodo record, 2 files)",Multiplex imaging of breast cancer lymph node metastases identifies prognostic single-cell populations independent of clinical classifiers,https://www.sciencedirect.com/science/article/pii/S2666379123000836,2023,no,,from the spora corpus (spora.epfl.ch)
gupta2026single,Single-cell spatial atlas of the aging human breast,IMC,spatial proteomics,yes,human,,healthy,,527,https://zenodo.org/records/18418221,https://zenodo.org/api/records/18418221/files/IMCBreastAgeingAtlasPublic.zip/content,"yes (zenodo record, 1 files)",Single-cell spatial atlas of the aging human breast,https://www.nature.com/articles/s43587-026-01104-3,2026,no,,from the spora corpus (spora.epfl.ch)
hickey2023organization,Organization of the human intestine at single-cell resolution,CODEX,spatial proteomics,yes,human,,,,8,https://datadryad.org/stash/dataset/doi:10.5061/dryad.gmsbcc2sq,,yes (http 200),Organization of the human intestine at single-cell resolution,https://www.nature.com/articles/s41586-023-05915-x,2023,no,,from the spora corpus (spora.epfl.ch)
hoch2022multiplexed,Multiplexed imaging mass cytometry of the chemokine milieus in melanoma characterizes features of the response to immunotherapy,IMC,spatial proteomics,yes,human,skin (melanoma),,,35,https://zenodo.org/records/6004986,https://zenodo.org/api/records/6004986/files/full_data.zip/content,"yes (zenodo record, 1 files)",Multiplexed imaging mass cytometry of the chemokine milieus in melanoma characterizes features of the response to immunotherapy,https://www.science.org/doi/full/10.1126/sciimmunol.abk1692,2022,no,,from the spora corpus (spora.epfl.ch)
hu2023single,Single-cell spatial metabolomics with cell-type specific protein profiling for tissue systems biology,IMC,spatial proteomics,yes,human,lung,lung cancer,,12,https://zenodo.org/records/6784251,https://zenodo.org/api/records/6784251/files/scSpaMet_submission_data.zip/content,"yes (zenodo record, 1 files)",Single-cell spatial metabolomics with cell-type specific protein profiling for tissue systems biology,https://www.nature.com/articles/s41467-023-43917-5,2023,no,,from the spora corpus (spora.epfl.ch)
jackson2020single,The single-cell pathology landscape of breast cancer,IMC,spatial proteomics,yes,human,breast,breast cancer,,285,https://zenodo.org/records/3518284,https://zenodo.org/api/records/3518284/files/SingleCell_and_Metadata.zip/content,"yes (zenodo record, 3 files)",The single-cell pathology landscape of breast cancer,https://www.nature.com/articles/s41586-019-1876-x,2020,no,,from the spora corpus (spora.epfl.ch)
lin2022multiplexed,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,CODEX,spatial proteomics,yes,human,colorectal,colorectal cancer,,6,https://humantumoratlas.org/explore,,yes (http 200),Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,https://www.sciencedirect.com/science/article/pii/S0092867422015719,2022,no,,from the spora corpus (spora.epfl.ch)
lin2023high,High-plex immunofluorescence imaging and traditional histology of the same tissue section for discovering image-based biomarkers,Orion,spatial proteomics,yes,human,colorectal,colorectal cancer,,40,https://www.tissue-atlas.org/atlas-datasets/lin-chen-campton-2023/,,yes (http 200),High-plex immunofluorescence imaging and traditional histology of the same tissue section for discovering image-based biomarkers,https://www.nature.com/articles/s43018-023-00576-1,2023,no,,from the spora corpus (spora.epfl.ch)
liu2022reproducible,"Reproducible, high-dimensional imaging in archival human tissue by multiplexed ion beam imaging by time-of-flight (MIBI-TOF)",MIBI,spatial proteomics,yes,human,"breast, colorectal","breast, colorectal cancer",,28,https://zenodo.org/records/5945388,https://zenodo.org/api/records/5945388/files/SingleChannelMIBI.zip/content,"yes (zenodo record, 3 files)","Reproducible, high-dimensional imaging in archival human tissue by multiplexed ion beam imaging by time-of-flight (MIBI-TOF)",https://www.sciencedirect.com/science/article/pii/S0023683722002112,2022,no,,from the spora corpus (spora.epfl.ch)
malchiodi2024natural,Periductal fibroblast density defines lymphocyte exclusion via a CD44-dependent stromal checkpoint in pancreatic cancer,IMC,spatial proteomics,yes,human,"pancreatic, other disease","pancreatic, other disease cancer",,63,https://zenodo.org/records/10582038,https://zenodo.org/api/records/10582038/files/TMA_4.zip/content,"yes (zenodo record, 9 files)",Periductal fibroblast density defines lymphocyte exclusion via a CD44-dependent stromal checkpoint in pancreatic cancer,https://www.biorxiv.org/content/10.1101/2024.05.23.593868v3,2024,no,,from the spora corpus (spora.epfl.ch)
meyer2025stratification,A stratification system for breast cancer based on basoluminal tumor cells and spatial tumor architecture,IMC,spatial proteomics,yes,human,breast,breast cancer,,215,https://zenodo.org/records/10942609,https://zenodo.org/api/records/10942609/files/ZTMA249_raw.zip/content,"yes (zenodo record, 2 files)",A stratification system for breast cancer based on basoluminal tumor cells and spatial tumor architecture,https://www.sciencedirect.com/science/article/pii/S1535610825002697,2025,no,,from the spora corpus (spora.epfl.ch)
moldoveanu2022spatially,Spatially mapping the immune landscape of melanoma using imaging mass cytometry,IMC,spatial proteomics,yes,human,skin (melanoma),,,90,https://zenodo.org/records/5903190,https://zenodo.org/api/records/5903190/files/Moldoveanu2022-cytof-RAW.tar.gz/content,"yes (zenodo record, 1 files)",Spatially mapping the immune landscape of melanoma using imaging mass cytometry,https://www.science.org/doi/10.1126/sciimmunol.abi5072,2022,no,,from the spora corpus (spora.epfl.ch)
monkman2024spatial,Spatial insights into immunotherapy response in non-small cell lung cancer (NSCLC) by multiplexed tissue imaging,CODEX,spatial proteomics,yes,human,lung,lung cancer,,42,https://zenodo.org/records/10258578,https://zenodo.org/api/records/10258578/files/s293_c001_v001_r001_reg003.ome.tiff/content,"yes (zenodo record, 45 files)",Spatial insights into immunotherapy response in non-small cell lung cancer (NSCLC) by multiplexed tissue imaging,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-024-05035-8,2024,no,,"from the spora corpus (spora.epfl.ch). Zenodo 10258578, CC-BY-4.0, 45 files / 41.2 GB: one 60-channel OME-TIFF per TMA core plus a QuPath per-cell table (225,319 cells over 42 cores) and the authors' annotated AnnData (210,945 cells over 36 cores, 21 published cell types). 36-marker CODEX panel over 15 cycles at 0.3775 um/px. No patient identifiers, clinical variables, or core-to-patient mapping are published, so the immunotherapy response the paper analyses is not recoverable from the deposit."
phillips2021immune,Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma,CODEX,spatial proteomics,yes,human,lymphoma,lymphoma cancer,,14,https://immunoatlas.org/NOLN/210920-1,,yes (http 200),Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma,https://www.nature.com/articles/s41467-021-26974-6,2021,no,,from the spora corpus (spora.epfl.ch)
rigamonti2024integrating,"Integrating AI-powered digital pathology and imaging mass cytometry identifies key classifiers of tumor cells, stroma, and immune cells in non-small cell lung cancer",IMC,spatial proteomics,yes,human,lung,lung cancer,,108,,,,"Integrating AI-powered digital pathology and imaging mass cytometry identifies key classifiers of tumor cells, stroma, and immune cells in non-small cell lung cancer",https://aacrjournals.org/cancerres/article/84/7/1165/742042/,2024,no,,from the spora corpus (spora.epfl.ch)
ruf2023tumor,Tumor-associated macrophages trigger MAIT cell dysfunction at the HCC invasive margin,CODEX,spatial proteomics,yes,human,liver,liver cancer,,17,https://www.cancerimagingarchive.net/collection/codex-imaging-of-hcc/,,yes (http 200),Tumor-associated macrophages trigger MAIT cell dysfunction at the HCC invasive margin,https://www.sciencedirect.com/science/article/pii/S0092867423008048?via%3Dihub,2023,no,,from the spora corpus (spora.epfl.ch)
rumberger2025automated,Automated classification of cellular expression in multiplexed imaging data with Nimbus,MIBI,spatial proteomics,yes,human,breast,breast cancer,,117,https://huggingface.co/datasets/JLrumberger/Pan-Multiplex/tree/main,,yes (http 200),Automated classification of cellular expression in multiplexed imaging data with Nimbus,https://www.nature.com/articles/s41592-025-02826-9,2025,no,,from the spora corpus (spora.epfl.ch)
salie2025spatial,Spatial single-cell profiling and neighbourhood analysis reveal the determinants of immune architecture connected to checkpoint inhibitor therapy outcome in hepatocellular carcinoma,IMC,spatial proteomics,yes,human,liver,liver cancer,,96,https://zenodo.org/records/10793609,https://zenodo.org/api/records/10793609/files/HCC_DiscoveryCohort.zip/content,"yes (zenodo record, 1 files)",Spatial single-cell profiling and neighbourhood analysis reveal the determinants of immune architecture connected to checkpoint inhibitor therapy outcome in hepatocellular carcinoma,https://gut.bmj.com/content/74/3/451,2025,no,,from the spora corpus (spora.epfl.ch)
