reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
access link 404s,starmap_starmap,STARmap,STARmap,mouse,visual cortex,https://www.starmapresources.com/data,,
access link 404s,human_gastric_ca2025_he_only,human gastric cancer signet-ring cells H&E image,H&E only,Human,Gastric cancer,https://upenn.box.com/s/nazcbustyepbf7dsv0ih8enxw3wr04x6,Designing smart spatial omics experiments with S2Omics,https://doi.org/10.1101/2025.09.21.677634
access link 404s,human_kidney_cos2025_cosmx,human kidney CosMx data,CosMx,Human,Kidney (T2D and normal),https://upenn.box.com/s/5zjynedjrachn1p8c4y1us1vonhgqm3d,Designing smart spatial omics experiments with S2Omics,https://doi.org/10.1101/2025.09.21.677634
access link blocked to automated checks (needs a browser),10x_visium_mouse2022_visium,10X Visium mouse brain data,Visium,mouse,brain- anterior,https://support.10xgenomics.com/spatial-gene-expression/datasets,Nonnegative spatial factorization applied to spatial genomics,https://doi.org/10.1038/s41592-022-01687-w
access link blocked to automated checks (needs a browser),10x_visium_mouse_visium,10X Visium mouse brain serial section 1 (sagittal-anterior),10x Visium,Mouse,Anterior brain (sagittal),https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1,,
access link blocked to automated checks (needs a browser),10x_genomics_vis2023_visium,"10x Genomics Visium Spatial Gene Expression demonstration datasets (10 tissues: mouse brain, human brain, mouse kidney, human breast cancer, human heart, human lymph node)",10x Genomics Visium,Homo sapiens and Mus musculus,"Multiple tissues (mouse brain, human brain, mouse kidney, human breast cancer, human heart, human lymph node)",https://support.10xgenomics.com/spatial-gene-expression/datasets/,GNTD: reconstructing spatial transcriptomes with graph-guided neural tensor decomposition informed by spatial and functional relations,https://doi.org/10.1038/s41467-023-44017-0
access link blocked to automated checks (needs a browser),song2022_visium,10x-hBC,Visium,Human,Breast cancer tissues,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1,"Song et al., Detecting spatially co-expressed gene clusters with functional coherence by graph-regularized convolutional neural network, Bioinformatics (2022)",https://doi.org/10.1093/bioinformatics/btab812
access link blocked to automated checks (needs a browser),her2_er_and_pr_b_visium,"HER2+, ER+ and PR- breast cancer",10x Visium,Human,Invasive ductal carcinoma,https://support.10xgenomics.com/spatial-gene-expression/datasets/,,
access link blocked to automated checks (needs a browser),xu2024_visium,Human Breast Cancer (HBC-10x) dataset,10× Visium,Human,Breast,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Breast_Cancer_Block_A_Section_1,"Xu et al., Unsupervised spatially embedded deep representation of spatial transcriptomics, Genome Med (2024)",https://doi.org/10.1101/2021.06.15.448542
access link blocked to automated checks (needs a browser),ji2020_xenium,Human Breast Cancer (HBC-Xenium) dataset,10x Xenium,human,breast cancer,https://www.10xgenomics.com/products/xenium in-situ/preview-dataset-human-breast/,"Ji et al., Multimodal analysis of composition and spatial architecture in human squamous cell carcinoma, Cell (2020)",https://doi.org/10.1016/j.cell.2020.08.043
