dataset_id,dataset_name,platform,modality,is_spatial,species,tissue,disease,perturbation,n_samples,data_access_link,download_url,data_downloadable,original_publication,original_publication_link,original_publication_year,first_published_by_model_paper,candidate_accessions,notes
liao2023_stereo,mouse thymus transcriptome-proteome data,Stereo-CITE-seq,spatial transcriptomics,no,Mouse,thymus,,,,https://zenodo.org/records/10362607,https://zenodo.org/api/records/10362607/files/Data_SpatialGlue.zip/content,,"Liao et al., Integrated spatial transcriptomic and proteomic analysis of fresh frozen tissue based on stereo-seq, bioRxiv (2023)",https://doi.org/10.1101/2023.04.28.538364,2023,no,,
cao2019_scrnaseq,Mouse organogenesis cell atlas (MOCA) / E13.5 scRNA-seq data,scRNA-seq,,no,mouse,embryo,,,,https://oncoscape.v3.strtcancer.org/atlas.gs.washington.edu.mouse.rna/downloads,,,"Cao et al., The single-cell transcriptional landscape of mammalian organogenesis, Nature (2019)",https://doi.org/10.1038/s41586-019-0969-x,2019,no,,also: https://oncoscape.v3.sttrcancer.org/atlas.gs.washington.edu.mouse.rna/downloads
zeisel2018_scrnaseq,Mouse brain cell atlas / single-cell RNA-seq reference data,scRNA-seq,,no,mouse,brain,,,,http://mousebrain.org/adolescent/downloads.html,,,"Zeisel et al., Molecular Architecture of the Mouse Nervous System, Cell (2018)",,2018,no,,also: https://storage.googleapis.com/linnarsson-lab-loom/l5_all.loomoriginal publication link unresolved (Crossref miss)
davis2018_atacseq,ENCODE ATAC-seq (E13.5 mouse embryo),ATAC-seq,,no,Mouse,Embryo brain,,,,https://www.encodeproject.org/search/?type=Experiment&status=released&related_series.@type=OrganismDevelopmentSeries&replicates.library.biosample.organism.scientific_name=Mus+musculus&assay_title=ATAC-seq&life_stage_age=embryonic%2013.5%20days,,,"Davis et al., The Encyclopedia of DNA Elements (ENCODE) data portal, Nature (2018)",https://doi.org/10.64898/2026.07.06.731365,2018,no,,
davis2018_rnaseq,ENCODE RNA-seq (E13.5 mouse embryo forebrain),RNA-seq,,no,Mouse,Forebrain,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78456,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE78456&format=file,,"Davis et al., The Encyclopedia of DNA Elements (ENCODE) data portal, Nature (2018)",https://doi.org/10.64898/2026.07.06.731365,2018,no,,"also: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78481, https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78493"
li2021_scatacseq,Atlas of gene regulatory elements in adult mouse cerebrum,scATAC-seq,,no,Mouse,Cerebrum,,,,http://catlas.org/mousebrain/#!/downloads,,,"Li et al., An atlas of gene regulatory elements in adult mouse cerebrum, Nature (2021)",https://doi.org/10.1242/prelights.22481,2021,no,,
franjic2022_snrnaseq,Human hippocampus (snRNA-seq),snRNA-seq,,no,Human,Hippocampus,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186538,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186538/suppl/GSE186538_Rhesus_cell_meta.txt.gz,,"Franjic et al., Transcriptomic taxonomy and neurogenic trajectories of adult human, macaque, and pig hippocampal and entorhinal cells, Neuron (2022)",https://doi.org/10.1016/j.neuron.2021.10.036,2022,no,,
corces2020_scatacseq,Human hippocampus (scATAC-seq),scATAC-seq,,no,Human,Brain,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147672,https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE147672&format=file,,"Corces et al., Single-cell epigenomic analyses implicate candidate causal variants at inherited risk loci for Alzheimer’s and Parkinson’s diseases, Nat. Genet. (2020)",https://doi.org/10.1038/s41588-020-00721-x,2020,no,,
halpern2017_scrnaseq,scRNAseq dataset,scRNAseq,,no,mouse,liver,,,,,,,"Halpern et al., Single-cell spatial reconstruction reveals global division of labour in the mammalian liver, Nature (2017)",https://doi.org/10.3410/f.727277514.793528807,2017,no,,
benmoshe2019_facsbased_pr,FACS-based hepatocyte proteome,FACS-based proteomics,,no,mouse,liver,,,,,,,"Ben-Moshe et al., Spatial sorting enables comprehensive characterization of liver zonation, Nat. Metab. (2019)",https://doi.org/10.1038/s42255-019-0109-9,2019,no,GSE134827; PRJNA556572; PXD014512,
