dataset_id,hubmap_id,tissue,layout,bytes,files,sprm_derivative,skip_reason
hubmap_hbm222_wqkc_382_mibi_uterus_protein,HBM222.WQKC.382,Uterus,lab_submission,577188377,9,HBM339.GMFL.329,
hubmap_hbm224_dtzl_954_mibi_uterus_protein,HBM224.DTZL.954,Uterus,lab_submission,577184901,9,HBM336.LKFW.859,
hubmap_hbm224_kgnf_646_mibi_uterus_protein,HBM224.KGNF.646,Uterus,lab_submission,577188376,9,HBM423.PQMZ.473,
hubmap_hbm224_rchm_744_mibi_uterus_protein,HBM224.RCHM.744,Uterus,lab_submission,577188380,9,HBM633.VBFP.756,
hubmap_hbm225_pqgq_852_mibi_uterus_protein,HBM225.PQGQ.852,Uterus,lab_submission,577184998,9,HBM563.BTTX.877,
hubmap_hbm226_sdcn_999_mibi_uterus_protein,HBM226.SDCN.999,Uterus,lab_submission,577185000,9,HBM389.NKLC.534,
hubmap_hbm228_mlpt_762_mibi_uterus_protein,HBM228.MLPT.762,Uterus,lab_submission,577183188,9,HBM778.LBZC.847,
hubmap_hbm228_nlns_669_mibi_uterus_protein,HBM228.NLNS.669,Uterus,lab_submission,577185001,9,HBM587.BRXX.822,
hubmap_hbm237_dlkc_855_mibi_uterus_protein,HBM237.DLKC.855,Uterus,lab_submission,577184867,9,HBM578.PPJH.439,
hubmap_hbm243_bkxt_647_mibi_uterus_protein,HBM243.BKXT.647,Uterus,lab_submission,577185000,9,HBM352.VRCW.258,
hubmap_hbm248_ccgt_382_mibi_uterus_protein,HBM248.CCGT.382,Uterus,lab_submission,577185001,9,HBM852.GQVD.966,
hubmap_hbm252_ggcl_762_mibi_uterus_protein,HBM252.GGCL.762,Uterus,lab_submission,577183200,9,,
hubmap_hbm253_pqvp_942_mibi_uterus_protein,HBM253.PQVP.942,Uterus,lab_submission,577188377,9,HBM487.BVPM.787,
hubmap_hbm255_fcjd_432_mibi_uterus_protein,HBM255.FCJD.432,Uterus,lab_submission,577186673,9,HBM225.KJQB.487,
hubmap_hbm257_tffm_796_mibi_uterus_protein,HBM257.TFFM.796,Uterus,lab_submission,577184891,9,HBM488.LPFG.595,
hubmap_hbm258_swdz_622_mibi_uterus_protein,HBM258.SWDZ.622,Uterus,lab_submission,577184899,9,HBM665.HQWG.468,
hubmap_hbm258_wpbz_892_mibi_uterus_protein,HBM258.WPBZ.892,Uterus,lab_submission,577181483,9,HBM893.FJGK.264,
hubmap_hbm259_fwhd_689_mibi_uterus_protein,HBM259.FWHD.689,Uterus,lab_submission,577184881,9,HBM758.VFJL.949,
hubmap_hbm264_hhbz_855_mibi_uterus_protein,HBM264.HHBZ.855,Uterus,lab_submission,577184895,9,HBM554.LVXX.786,
hubmap_hbm268_zzgq_759_mibi_uterus_protein,HBM268.ZZGQ.759,Uterus,lab_submission,577184901,9,HBM339.VCLB.796,
hubmap_hbm273_zhhg_846_mibi_uterus_protein,HBM273.ZHHG.846,Uterus,lab_submission,577186573,9,HBM374.CKSV.949,
hubmap_hbm275_hpvh_884_mibi_uterus_protein,HBM275.HPVH.884,Uterus,lab_submission,577185023,9,HBM946.VBVT.327,
hubmap_hbm276_zmlr_392_mibi_uterus_protein,HBM276.ZMLR.392,Uterus,lab_submission,577183191,9,HBM889.RMXX.954,
hubmap_hbm277_nsql_526_mibi_uterus_protein,HBM277.NSQL.526,Uterus,lab_submission,577188321,9,HBM536.VGGL.365,
hubmap_hbm278_ghlh_482_mibi_uterus_protein,HBM278.GHLH.482,Uterus,lab_submission,577184894,9,HBM533.RPKS.527,
hubmap_hbm278_jpvf_359_mibi_uterus_protein,HBM278.JPVF.359,Uterus,lab_submission,577184897,9,HBM753.BNXK.497,
hubmap_hbm283_cpxw_835_mibi_uterus_protein,HBM283.CPXW.835,Uterus,lab_submission,577184891,9,HBM687.LKCM.747,
hubmap_hbm283_zhqs_286_mibi_uterus_protein,HBM283.ZHQS.286,Uterus,lab_submission,577183191,9,,
hubmap_hbm285_rqpt_487_mibi_uterus_protein,HBM285.RQPT.487,Uterus,lab_submission,577184894,9,HBM448.ZHND.632,
hubmap_hbm286_pppq_526_mibi_uterus_protein,HBM286.PPPQ.526,Uterus,lab_submission,577183342,9,HBM792.XFHW.388,
hubmap_hbm293_jjrg_875_mibi_uterus_protein,HBM293.JJRG.875,Uterus,lab_submission,577190063,9,HBM264.ZSRX.862,
hubmap_hbm293_plzj_793_mibi_uterus_protein,HBM293.PLZJ.793,Uterus,lab_submission,577184894,9,,
hubmap_hbm294_rhds_354_mibi_uterus_protein,HBM294.RHDS.354,Uterus,lab_submission,577183186,9,,
hubmap_hbm296_nrcf_473_mibi_uterus_protein,HBM296.NRCF.473,Uterus,lab_submission,577183196,9,HBM357.KZGB.898,
hubmap_hbm297_dgpl_989_mibi_uterus_protein,HBM297.DGPL.989,Uterus,lab_submission,577184905,9,HBM443.BWDP.264,
hubmap_hbm299_pbzf_474_mibi_uterus_protein,HBM299.PBZF.474,Uterus,lab_submission,577188307,9,HBM836.RCJX.699,
hubmap_hbm327_vgqk_363_mibi_uterus_protein,HBM327.VGQK.363,Uterus,lab_submission,577185000,9,HBM776.NBTT.385,
hubmap_hbm327_vpmv_784_mibi_uterus_protein,HBM327.VPMV.784,Uterus,lab_submission,577186571,9,HBM459.BSLC.269,
hubmap_hbm338_kptd_485_mibi_uterus_protein,HBM338.KPTD.485,Uterus,lab_submission,577183188,9,HBM689.BSHD.684,
hubmap_hbm339_jvhd_976_mibi_uterus_protein,HBM339.JVHD.976,Uterus,lab_submission,577186673,9,HBM346.KNSC.626,
hubmap_hbm348_kshk_482_mibi_uterus_protein,HBM348.KSHK.482,Uterus,lab_submission,577184897,9,HBM996.VSMV.377,
