dataset_id,dataset_name,platform,tissue,candidate_accession,found_in,n_candidates_in_paper,source_doi,paperclip_doc,current_access_link
ou2022_stereo,Stereo-seq human cervical squamous cell carcinoma dataset,Stereo-seq,cervical squamous cell carcinoma,CNP0002535,body,3,10.1002/advs.202203040,PMC9561780,
ou2022_stereo,Stereo-seq human cervical squamous cell carcinoma dataset,Stereo-seq,cervical squamous cell carcinoma,CNP0002543,body,3,10.1002/advs.202203040,PMC9561780,
ou2022_stereo,Stereo-seq human cervical squamous cell carcinoma dataset,Stereo-seq,cervical squamous cell carcinoma,GSE63514,body,3,10.1002/advs.202203040,PMC9561780,
primary_tumor_an2024_visium,Primary tumor and para-carcinoma spatial transcriptomics dataset,Visium,Papillary thyroid carcinoma and para-carcinoma tissues,HRA003726,body,1,10.1002/advs.202404491,PMC11727256,HRA003726
wang2025_spatial_tran,Rice leaf Magnaporthe oryzae infection spatial map,Spatial transcriptomics,leaf,PRJNA1121079,body,3,10.1002/advs.202416846,PMC12097076,
wang2025_spatial_tran,Rice leaf Magnaporthe oryzae infection spatial map,Spatial transcriptomics,leaf,PRJNA1150774,body,3,10.1002/advs.202416846,PMC12097076,
wang2025_spatial_tran,Rice leaf Magnaporthe oryzae infection spatial map,Spatial transcriptomics,leaf,PRJNA661210,body,3,10.1002/advs.202416846,PMC12097076,
stereo_seq_spati2022_stereo,"Stereo-seq spatial transcriptomics dataset of human lung cancer, para-cancer, and normal tissues",Stereo-seq,lung,CNP0002374,body,1,10.1002/ctm2.669,PMC8792118,CNP0002374
andrews2022_spatial_tran,Healthy human liver spatial RNA-seq,Spatial Transcriptomics,liver,GSE185477,body,2,10.1002/hep4.1854,PMC8948611,
andrews2022_spatial_tran,Healthy human liver spatial RNA-seq,Spatial Transcriptomics,liver,figshare.com/projects/Human_Liver_SC_vs_SN_paper/98981,body,2,10.1002/hep4.1854,PMC8948611,
nguyen2020_snrnaseq,AD snRNA-seq dataset,snRNA-seq,middle frontal neocortex,GSE118257,body,1,10.1007/s00401-020-02200-3,PMC7520051,
li2022_unknown_2,spatial transcriptomics data from a recent clinical trial of neoadjuvant immunotherapies for pancreatic ductal adenocarcinoma (PDAC),,pancreatic ductal adenocarcinoma,10.5281/zenodo.1185418,body,2,10.1016/j.ccell.2022.10.001,PMC9669212,
li2022_unknown_2,spatial transcriptomics data from a recent clinical trial of neoadjuvant immunotherapies for pancreatic ductal adenocarcinoma (PDAC),,pancreatic ductal adenocarcinoma,10.5281/zenodo.3367200,body,2,10.1016/j.ccell.2022.10.001,PMC9669212,
boersma2020_seqfish,seqFISH cell culture dataset,seqFISH,cell culture,10.17632/9sxbk6cvn9.1,body,2,10.1016/j.cell.2020.10.019,PMC7664544,
boersma2020_seqfish,seqFISH cell culture dataset,seqFISH,cell culture,GSE159280,body,2,10.1016/j.cell.2020.10.019,PMC7664544,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,10.17632/gncg57p5x9.2,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,GSE114374,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,GSE116222,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,GSE125970,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,GSE158328,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
fawknercorbett2021_spatial_tran,Human intestinal development dataset,Spatial Transcriptomics,intestine,GSE158702,body,6,10.1016/j.cell.2020.12.016,PMC7864098,
guilliams2022_spatial_tran,Hepatic macrophage niches spatial dataset,Spatial Transcriptomics,liver,GSE192742,body,1,10.1016/j.cell.2021.12.018,PMC8809252,
guilliams2022_visium,10x Visium with highly multiplexed protein data and CITE-seq data of mouse liver,10X Visium,liver,GSE192742,body,1,10.1016/j.cell.2021.12.018,PMC8809252,Scott Lab & Guilliams Lab Liver Cell Atlas Mouse-StSt
binan2025_perturbfish,Human melanoma (Perturb-FISH),Perturb-FISH,melanoma,zenodo.org/records/3758540,body,1,10.1016/j.cell.2025.02.012,PMC12135205,
sathyamurthy2018_dropseq,Sathyamurthy dataset,DropSeq,postnatal mouse spinal cord,GSE103892,body,1,10.1016/j.celrep.2018.02.003,PMC5849084,GSE103892
tepe2018_10x_chromium,Mouse olfactory bulb scRNA-seq dataset,10x Chromium,Olfactory bulb,GSE121891,body,1,10.1016/j.celrep.2018.11.034,PMC6342206,
tepe2018_visium,Mouse olfactory bulb by Visium,Visium,olfactory bulb,GSE121891,body,1,10.1016/j.celrep.2018.11.034,PMC6342206,https://www.10xgenomics.com/resources/datasets/adult-mouse-olfactory-bulb-1-standard-1
slide_seq_datase2021_slideseq,Slide-seq dataset of diabetic (ob/ob) mouse testis,Slide-seq,testis,PRJNA668433,body,1,10.1016/j.celrep.2021.109915,PMC8606188,PRJNA668433
hickey2023_codex_2,CODEX melanoma spatial proteomics dataset,CODEX,melanoma / tumor tissue,10.5061/dryad.k0p2ngfcc,body,1,10.1016/j.celrep.2023.113494,PMC10765317,https://datadryad.org/dataset/doi:10.5061/dryad.k0p2ngfcc
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,10.5281/zenodo.14524519,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,10.5281/zenodo.14524587,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,GSE141730,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,GSE146035,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,GSE172302,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,GSE270342,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
ke2025_spatial_tran,Wheat root atlas,Spatial transcriptomics,root,GSE271725,body,7,10.1016/j.celrep.2025.115240,PMC11860762,
joost2016_fish,follicle spatial imaging data,FISH,hair follicle,GSE67602,body,1,10.1016/j.cels.2016.08.010,PMC5052454,
whole_spinal_cor2021_slide_scanni,"Whole spinal cord histological, immunohistochemical, and viral tracing image datasets (ChAT, IB4, AAV-tdTomato CST, VAChT/Foxp1:tdTomato)",Slide scanning microscope (Nikon AZ100 Multizoom),spinal cord,10.17632/6hf6tt3xwj.1,body,3,10.1016/j.crmeth.2021.100074,PMC8516137,https://doi.org/10.17632/6hf6tt3xwj.1
whole_spinal_cor2021_slide_scanni,"Whole spinal cord histological, immunohistochemical, and viral tracing image datasets (ChAT, IB4, AAV-tdTomato CST, VAChT/Foxp1:tdTomato)",Slide scanning microscope (Nikon AZ100 Multizoom),spinal cord,10.17632/6hf6tt3xwj.1](https://doi.org/10.17632/6hf6tt3xwj.1,body,3,10.1016/j.crmeth.2021.100074,PMC8516137,https://doi.org/10.17632/6hf6tt3xwj.1
whole_spinal_cor2021_slide_scanni,"Whole spinal cord histological, immunohistochemical, and viral tracing image datasets (ChAT, IB4, AAV-tdTomato CST, VAChT/Foxp1:tdTomato)",Slide scanning microscope (Nikon AZ100 Multizoom),spinal cord,10.5281/zenodo.5177185,body,3,10.1016/j.crmeth.2021.100074,PMC8516137,https://doi.org/10.17632/6hf6tt3xwj.1
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,GSE108561,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,GSE129516,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,GSE137720,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,GSE155797,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,GSE84498,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,PXD020760,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
spatial_sorting_2021_qexactive_or,Spatial sorting L-EC label free proteomic data,QExactive Orbitrap HF-X,Liver,PXD020805,body,7,10.1016/j.devcel.2021.05.001,PMC8191494,PRIDE: PXD020760
akeret2022_spatial_tran,Mouse brain heme injection spatial transcriptome,Spatial Transcriptomics,brain,10.5281/zenodo.5638720,body,2,10.1016/j.dib.2022.107866,PMC8814302,
akeret2022_unknown,Coronal Mouse Brain Dataset,,coronal mouse brain,10.5281/zenodo.5638720,body,2,10.1016/j.dib.2022.107866,PMC8814302,
akeret2022_spatial_tran,Mouse brain heme injection spatial transcriptome,Spatial Transcriptomics,brain,GSE182127,body,2,10.1016/j.dib.2022.107866,PMC8814302,
akeret2022_unknown,Coronal Mouse Brain Dataset,,coronal mouse brain,GSE182127,body,2,10.1016/j.dib.2022.107866,PMC8814302,
zhang2023_stereo,Colorectal cancer Stereo-seq data P19 and P36,Stereo-seq,colorectal,CNP0002432,body,1,10.1016/j.fmre.2022.01.036,PMC11197706,CNP0002432
sanders2022_visium,small cell ovarian carcinoma of the ovary hypercalcemic type (SCCOHT) data,Visium,Ovary,GSE213699,body,1,10.1016/j.gore.2022.101077,PMC9554814,
breast_cancer_bl2022_visium,Breast cancer block A section 1 (10x Genomics),Visium,Breast cancer,HRA000437,body,1,10.1016/j.gpb.2022.11.012,PMC10025771,https://www.10xgenomics.com/resources/datasets
human_reference_2022_visium,Human Reference RNA Dataset,10x Genomics Visium Spatial Gene Expression assay / NextSeq2000,Universal human reference RNA,10.17632/3ngy9xvfwx.1,body,2,10.1016/j.heliyon.2022.e09651,PMC9213715,PRJNA775889
human_reference_2022_visium,Human Reference RNA Dataset,10x Genomics Visium Spatial Gene Expression assay / NextSeq2000,Universal human reference RNA,PRJNA775889,body,2,10.1016/j.heliyon.2022.e09651,PMC9213715,PRJNA775889
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,10.5281/zenodo.10373041,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,10.5281/zenodo.8373756,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,10.6084/m9.figshare.24885063,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,E-MTAB-13687,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,GSE58597,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
visium_spatial_g2024_visium_3,Visium Spatial Gene Expression dataset of human tonsils,10x Genomics Visium,palatine tonsil,figshare.com/articles/book/GLOSSARY_TONSIL_ATLAS_pdf/24885063,body,6,10.1016/j.immuni.2024.01.006,PMC10869140,ArrayExpress: E-MTAB-13687
navarro2020_spatial_tran,Alzheimer disease mouse brain mitochondrial stress dataset,Spatial Transcriptomics,brain,10.17632/6s959w2zyr.1,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://doi.org/10.17632/6s959w2zyr.1y
navarro2020_visium,"Navarro et al., Visium, Brain",Visium,,10.17632/6s959w2zyr.1,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://10.17632/6s959w2zyr.1
navarro2020_st,Hippocampus 1,ST,Brain (Nervous Tissue),10.17632/6s959w2zyr.1,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://data.mendeley.com/datasets/6s959w2zyr/1
navarro2020_spatial_tran,Alzheimer disease mouse brain mitochondrial stress dataset,Spatial Transcriptomics,brain,PXD017766,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://doi.org/10.17632/6s959w2zyr.1y
navarro2020_visium,"Navarro et al., Visium, Brain",Visium,,PXD017766,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://10.17632/6s959w2zyr.1
navarro2020_st,Hippocampus 1,ST,Brain (Nervous Tissue),PXD017766,body,2,10.1016/j.isci.2020.101556,PMC7522123,https://data.mendeley.com/datasets/6s959w2zyr/1
stur2022_visium,10x Genomics Visium human HGSC ovarian cancer dataset,10x Genomics Visium,ovarian tumor,EGAD00001005240,body,2,10.1016/j.isci.2022.103923,PMC8891954,
stur2022_visium,10x Genomics Visium human HGSC ovarian cancer dataset,10x Genomics Visium,ovarian tumor,GSE189843,body,2,10.1016/j.isci.2022.103923,PMC8891954,
marshall2022_slideseq,Slide-seqV2 human and mouse kidney dataset,Slide-seqV2,Kidney,10.5281/zenodo.6338100,body,3,10.1016/j.isci.2022.104097,PMC8971939,https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a
marshall2022_slideseq,Slide-seqV2 human and mouse kidney dataset,Slide-seqV2,Kidney,GSE190094,body,3,10.1016/j.isci.2022.104097,PMC8971939,https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a
marshall2022_slideseq,Slide-seqV2 human and mouse kidney dataset,Slide-seqV2,Kidney,cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a,body,3,10.1016/j.isci.2022.104097,PMC8971939,https://cellxgene.cziscience.com/collections/8e880741-bf9a-4c8e-9227-934204631d2a
de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,Tumor,E-MTAB-13530,body,5,10.1016/j.tranon.2026.102853,PMC13250641,
de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,Tumor,GSE18842,body,5,10.1016/j.tranon.2026.102853,PMC13250641,
de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,Tumor,GSE19804,body,5,10.1016/j.tranon.2026.102853,PMC13250641,
de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,Tumor,GSE1987,body,5,10.1016/j.tranon.2026.102853,PMC13250641,
de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,Tumor,GSE27262,body,5,10.1016/j.tranon.2026.102853,PMC13250641,
linnakuosmanen2024_visium,Linna-Kuosmanen et al. right atrial tissue ST dataset,Visium and Molecular Cartography,human ex vivo right atrial tissue,10.5281/zenodo.10822323,body,1,10.1016/j.xcrm.2024.101556,PMC11148807,
villacampa2021_ovarian_visium,Human ovarian cancer FFPE Visium,10x Visium,ovary,10.17632/xjtv62ncwr.1,body,2,10.1016/j.xgen.2021.100065,PMC9903805,
villacampa2021_ovarian_visium,Human ovarian cancer FFPE Visium,10x Visium,ovary,GSE185715,body,2,10.1016/j.xgen.2021.100065,PMC9903805,
slide_seqv2_spat2025_slideseq,Slide-seqV2 spatial single cell RNA sequencing dataset,Slide-seq V2,coronary artery and aorta,10.17632/bk6wr6dk2k.,body,5,10.1016/j.xgen.2025.101034,PMC12802643,Mendeley Data: 10.17632/bk6wr6dk2k.1
slide_seqv2_spat2025_slideseq,Slide-seqV2 spatial single cell RNA sequencing dataset,Slide-seq V2,coronary artery and aorta,10.17632/bk6wr6dk2k.1.,body,5,10.1016/j.xgen.2025.101034,PMC12802643,Mendeley Data: 10.17632/bk6wr6dk2k.1
