folder_name,sample,study,dataset_id,data_access_link,species,organism_ontology_term_id,assay,assay_ontology_term_id,tissue,tissue_ontology_term_id,sex,sex_ontology_term_id,age_num,age_unit,age_group,development_stage_ontology_term_id,disease_level1,disease_level2,disease_level3,disease_ontology_term_id_level1,disease_ontology_term_id_level2,disease_ontology_term_id_level3,self_reported_ethnicity_ontology_term_id,source,raw_on_farm,download_url,H&E_on_farm
Xenium_V1_Human_Brain_GBM_FFPE,Xenium Human Brain 2,Xenium Human Brain 2,23,https://www.10xgenomics.com/datasets/ffpe-human-brain-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,brain,UBERON:0000955,na,unknown,,,,HsapDv:0000258,cancer,malignant_glioma,glioblastoma,MONDO:0004992,MONDO:0100342,MONDO:0018177,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_Human_Brain_GBM_FFPE,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/2.0.0/Xenium_V1_Human_Brain_GBM_FFPE/Xenium_V1_Human_Brain_GBM_FFPE_outs.zip,/lustre/scratch126/cellgen/team361/bc8/cytobase/input/H&E/Xenium_V1_Human_Brain_GBM_FFPE_he_image.ome.tif'
Xenium_V1_FFPE_Human_Breast_IDC_Big_1,Xenium Human Breast Cancer 4,FFPE Human Breast using the Entire Sample Area,24,https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_ductal_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0004953,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_IDC_Big_1,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_IDC_Big_1/Xenium_V1_FFPE_Human_Breast_IDC_Big_1_outs.zip,
Xenium_V1_FFPE_Human_Breast_IDC_Big_2,Xenium Human Breast Cancer 4,FFPE Human Breast using the Entire Sample Area,24,https://www.10xgenomics.com/datasets/ffpe-human-breast-using-the-entire-sample-area-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_ductal_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0004953,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_IDC_Big_2,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_IDC_Big_2/Xenium_V1_FFPE_Human_Breast_IDC_Big_2_outs.zip,
Xenium_V1_FFPE_Human_Breast_IDC_With_Addon,Xenium Human Breast Cancer 3,FFPE Human Breast with Custom Add-on Panel,25,https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_ductal_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0004953,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs.zip,
Xenium_V1_FFPE_Human_Breast_ILC_With_Addon,Xenium Human Breast Cancer 3,FFPE Human Breast with Custom Add-on Panel,25,https://www.10xgenomics.com/datasets/ffpe-human-breast-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_lobular_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0005051,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_ILC_With_Addon,https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_ILC_With_Addon/Xenium_V1_FFPE_Human_Breast_ILC_With_Addon_outs.zip,
Xenium_V1_FFPE_Human_Breast_IDC,Xenium Human Breast Cancer 2 - Sample 1,FFPE Human Breast with Pre-designed Panel,26,https://www.10xgenomics.com/datasets/ffpe-human-breast-with-pre-designed-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_ductal_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0004953,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_IDC,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_IDC/Xenium_V1_FFPE_Human_Breast_IDC_outs.zip,
Xenium_V1_FFPE_Human_Breast_ILC,Xenium Human Breast Cancer 2 - Sample 2,FFPE Human Breast with Pre-designed Panel,26,https://www.10xgenomics.com/datasets/ffpe-human-breast-with-pre-designed-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_lobular_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0005051,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_ILC,https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_ILC/Xenium_V1_FFPE_Human_Breast_ILC_outs.zip,
Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_1,Xenium Human Breast Cancer 1,Xenium FFPE Human Breast with Custom Add-on Panel,27,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,breast,UBERON:0000310,female,PATO:0000383,,,,HsapDv:0000258,cancer,breast_cancer,invasive_ductal_breast_carcinoma,MONDO:0004992,MONDO:0007254,MONDO:0004953,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_1,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.3.0/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs.zip,
Xenium_V1_humanLung_Cancer_FFPE,Xenium Human Lung 2,Preview Data: FFPE Human Lung Cancer with Xenium Multimodal Cell Segmentation,28,https://www.10xgenomics.com/datasets/preview-data-ffpe-human-lung-cancer-with-xenium-multimodal-cell-segmentation-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,lung,UBERON:0002048,na,unknown,,,,HsapDv:0000258,cancer,lung_cancer,lung_adenocarcinoma,MONDO:0004992,MONDO:0008903,MONDO:0005061,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_humanLung_Cancer_FFPE,https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_humanLung_Cancer_FFPE/Xenium_V1_humanLung_Cancer_FFPE_outs.zip,
Xenium_V1_hLung_cancer_section,Xenium Human Lung 1,Human Lung Cancer Preview Data ,29,https://www.10xgenomics.com/datasets/human-lung-cancer-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,lung,UBERON:0002048,na,unknown,,,,HsapDv:0000258,cancer,lung_cancer,lung_carcinoma,MONDO:0004992,MONDO:0008903,MONDO:0005138,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hLung_cancer_section,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLung_cancer_section/Xenium_V1_hLung_cancer_section_outs.zip,
