dataset_name,platform,modality,is_spatial,species,tissue,disease,perturbation,n_samples,data_access_link,download_url,data_downloadable,original_publication,original_publication_link,original_publication_year,first_published_by_model_paper,candidate_accessions,notes,dataset_id,folded_into
"Preservation Method Comparison on CytAssist: FFPE Mouse Brain (Sagittal), 11 mm Capture Area",Visium,spatial transcriptomics,yes,Mouse,Brain,healthy,,,https://www.10xgenomics.com/datasets/ffpe-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 2.0.1; preservation: FFPE; bundle verified 0.1 GB,tenx_ffpe_visium_on_cytassist_mouse_brain_probe_b,tenx_preservation_method_comparison_on_visium_cyt_3
"Preservation Method Comparison on CytAssist: Fixed Frozen Mouse Brain (Sagittal), 11 mm Capture Area",Visium,spatial transcriptomics,yes,Mouse,Brain,healthy,,,https://www.10xgenomics.com/datasets/fixed-frozen-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 2.0.1; preservation: Fixed Frozen; bundle verified 0.1 GB,tenx_fixed_frozen_visium_on_cytassist_mouse_brain,tenx_preservation_method_comparison_on_visium_cyt
"Preservation Method Comparison on CytAssist: Fresh Frozen Mouse Brain (Sagittal), 11 mm Capture Area",Visium,spatial transcriptomics,yes,Mouse,Brain,healthy,,,https://www.10xgenomics.com/datasets/fresh-frozen-visium-on-cytassist-mouse-brain-probe-based-whole-transcriptome-profiling-2-standard-1,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 2.0.1; preservation: Fresh Frozen; bundle verified 0.2 GB,tenx_fresh_frozen_visium_on_cytassist_mouse_brain,tenx_preservation_method_comparison_on_visium_cyt_2
Human Breast Cancer (Block A Section 2),Visium,spatial transcriptomics,yes,Human,Breast,Invasive Ductal Carcinoma,,,https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-2-1-standard-1-0-0,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Breast_Cancer_Block_A_Section_2/V1_Breast_Cancer_Block_A_Section_2_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.0.0; preservation: Fresh Frozen; bundle verified 0.1 GB,tenx_human_breast_cancer_block_a_section_2_1_stan_2,tenx_human_breast_cancer_block_a_section_2_1_stan
Human Heart,Visium,spatial transcriptomics,yes,Human,Heart,,,,https://www.10xgenomics.com/datasets/human-heart-1-standard-1-0-0,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Human_Heart/V1_Human_Heart_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.0.0; preservation: Fresh Frozen; bundle verified 0.0 GB,tenx_human_heart_1_standard_1_0_0,tenx_human_heart_1_standard_1_1_0
"Human Prostate Cancer, Adjacent Normal Section with IF Staining (FFPE)",Visium,spatial transcriptomics,yes,Human,Prostate,Adenocarcinoma,,,https://www.10xgenomics.com/datasets/human-prostate-cancer-adjacent-normal-section-with-if-staining-ffpe-1-standard-1-3-0,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Human_Prostate_IF/Visium_FFPE_Human_Prostate_IF_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.3.0; preservation: FFPE; bundle verified 0.1 GB,tenx_human_prostate_cancer_adjacent_normal_sectio_2,tenx_human_prostate_cancer_adjacent_normal_sectio
Mouse Brain Section (Coronal),Visium,spatial transcriptomics,yes,Mouse,Brain,,,,https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-0-0,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Adult_Mouse_Brain/V1_Adult_Mouse_Brain_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.0.0; preservation: Fresh Frozen; bundle verified 0.1 GB,tenx_mouse_brain_section_coronal_1_standard_1_0_0,tenx_adult_mouse_brain_coronal_section_fresh_froz
Mouse Brain Serial Section 2 (Sagittal-Anterior),Visium,spatial transcriptomics,yes,Mouse,Brain,,,,https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-1-0,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.1.0; preservation: Fresh Frozen; bundle verified 0.1 GB,tenx_mouse_brain_serial_section_2_sagittal_anteri_2,tenx_mouse_brain_serial_section_2_sagittal_anteri
Mouse Brain Serial Section 2 (Sagittal-Anterior),Visium,spatial transcriptomics,yes,Mouse,Brain,,,,https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-0-0,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.0.0; preservation: Fresh Frozen; bundle verified 0.1 GB,tenx_mouse_brain_serial_section_2_sagittal_anteri_3,tenx_mouse_brain_serial_section_2_sagittal_anteri
Mouse Brain Serial Section 2 (Sagittal-Posterior),Visium,spatial transcriptomics,yes,Mouse,Brain,,,,https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-0-0,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_filtered_feature_bc_matrix.tar.gz,,10x Genomics Datasets,,,no,,from the 10x dataset catalogue; product: Spatial Gene Expression; pipeline: Space Ranger 1.0.0; preservation: Fresh Frozen; bundle verified 0.1 GB,tenx_mouse_brain_serial_section_2_sagittal_poster_2,tenx_mouse_brain_serial_section_2_sagittal_poster
