dataset_id,platform,cdn_prefix,sample,counts_url,counts_bytes,spatial_url,spatial_bytes,image_url,image_bytes,binned_url,binned_bytes,skip_reason
tenx_adult_human_brain_1_cerebral_cortex_unknown_,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_1/V1_Human_Brain_Section_1,V1_Human_Brain_Section_1,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_1/V1_Human_Brain_Section_1_filtered_feature_bc_matrix.h5,18935899,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_1/V1_Human_Brain_Section_1_spatial.tar.gz,10257162,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_1/V1_Human_Brain_Section_1_image.tif,4702382736,,0,
tenx_adult_human_brain_2_cerebral_cortex_unknown_,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_2/V1_Human_Brain_Section_2,V1_Human_Brain_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_2/V1_Human_Brain_Section_2_filtered_feature_bc_matrix.h5,21198742,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_2/V1_Human_Brain_Section_2_spatial.tar.gz,10587843,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Human_Brain_Section_2/V1_Human_Brain_Section_2_image.tif,4702382736,,0,
tenx_adult_mouse_brain_coronal_section_fresh_froz,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/V1_Adult_Mouse_Brain/V1_Adult_Mouse_Brain,V1_Adult_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/V1_Adult_Mouse_Brain/V1_Adult_Mouse_Brain_filtered_feature_bc_matrix.h5,21107817,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/V1_Adult_Mouse_Brain/V1_Adult_Mouse_Brain_spatial.tar.gz,10260731,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/V1_Adult_Mouse_Brain/V1_Adult_Mouse_Brain_image.tif,398415836,,0,
tenx_adult_mouse_brain_coronal_section_visium_ff_,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/Visium_Fresh_Frozen_Adult_Mouse_Brain/Visium_Fresh_Frozen_Adult_Mouse_Brain,Visium_Fresh_Frozen_Adult_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/Visium_Fresh_Frozen_Adult_Mouse_Brain/Visium_Fresh_Frozen_Adult_Mouse_Brain_filtered_feature_bc_matrix.h5,16348114,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/Visium_Fresh_Frozen_Adult_Mouse_Brain/Visium_Fresh_Frozen_Adult_Mouse_Brain_spatial.tar.gz,7448213,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/Visium_Fresh_Frozen_Adult_Mouse_Brain/Visium_Fresh_Frozen_Adult_Mouse_Brain_image.tif,533595572,,0,
tenx_adult_mouse_brain_if_stained_ffpe_1_standard,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Mouse_Brain_IF/Visium_FFPE_Mouse_Brain_IF,Visium_FFPE_Mouse_Brain_IF,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Mouse_Brain_IF/Visium_FFPE_Mouse_Brain_IF_filtered_feature_bc_matrix.h5,15829092,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Mouse_Brain_IF/Visium_FFPE_Mouse_Brain_IF_spatial.tar.gz,4377139,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Mouse_Brain_IF/Visium_FFPE_Mouse_Brain_IF_image.tif,480687512,,0,
tenx_ffpe_visium_on_cytassist_mouse_brain_probe_b,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain,CytAssist_FFPE_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,49331098,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_spatial.tar.gz,35580301,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_tissue_image.tif,6649426708,,0,
tenx_fixed_frozen_visium_on_cytassist_mouse_brain,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain,CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,45347855,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_spatial.tar.gz,34144724,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_tissue_image.tif,4866558150,,0,
tenx_fresh_frozen_visium_on_cytassist_human_breas,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Human_Breast_Cancer/CytAssist_Fresh_Frozen_Human_Breast_Cancer,CytAssist_Fresh_Frozen_Human_Breast_Cancer,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Human_Breast_Cancer/CytAssist_Fresh_Frozen_Human_Breast_Cancer_filtered_feature_bc_matrix.h5,11427200,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Human_Breast_Cancer/CytAssist_Fresh_Frozen_Human_Breast_Cancer_spatial.tar.gz,29057618,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Human_Breast_Cancer/CytAssist_Fresh_Frozen_Human_Breast_Cancer_tissue_image.tif,2375591453,,0,
tenx_fresh_frozen_visium_on_cytassist_mouse_brain,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain,CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,51654674,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_spatial.tar.gz,32632465,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_tissue_image.tif,5152823762,,0,
tenx_fresh_frozen_visium_on_cytassist_mouse_brain_2,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Mouse_Brain/CytAssist_Fresh_Frozen_Mouse_Brain,CytAssist_Fresh_Frozen_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Mouse_Brain/CytAssist_Fresh_Frozen_Mouse_Brain_filtered_feature_bc_matrix.h5,29772605,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Mouse_Brain/CytAssist_Fresh_Frozen_Mouse_Brain_spatial.tar.gz,30809823,https://cf.10xgenomics.com/samples/spatial-exp/2.0.1/CytAssist_Fresh_Frozen_Mouse_Brain/CytAssist_Fresh_Frozen_Mouse_Brain_tissue_image.tif,3359449464,,0,
