dataset_id,platform,species,tissue,data_access_link,reason
tenx_aggregate_of_mouse_brain_sections_cytassist_,Visium,Mouse,Brain,https://www.10xgenomics.com/datasets/aggregate-of-mouse-brain-sections-cytassist-for-ffpe-2-standard,Space Ranger aggr output: several sections in one matrix; needs per-library split
tenx_aggregate_of_mouse_brain_sections_visium_fre,Visium,Mouse,Brain,https://www.10xgenomics.com/datasets/aggregate-of-mouse-brain-sections-visium-fresh-frozen-whole-transcriptome-1-standard,Space Ranger aggr output: several sections in one matrix; needs per-library split
tenx_human_cerebellum_targeted_compare_neuroscien,Visium,Human,"Brain, Cerebellum",https://www.10xgenomics.com/datasets/human-cerebellum-targeted-compare-neuroscience-panel-1-standard-1-2-0,no verified bundle URL (see notes)
tenx_human_cerebellum_targeted_neuroscience_panel_2,Visium,Human,"Brain, Cerebellum",https://www.10xgenomics.com/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard-1-2-0,several tissues on one capture area; tissue is per-section
tenx_human_cerebellum_whole_transcriptome_analysi,Visium,Human,"Brain, Cerebellum",https://www.10xgenomics.com/datasets/human-cerebellum-whole-transcriptome-analysis-1-standard-1-2-0,several tissues on one capture area; tissue is per-section
tenx_human_ovarian_cancer_targeted_compare_immuno,Visium,Human,Ovary,https://www.10xgenomics.com/datasets/human-ovarian-cancer-targeted-compare-immunology-panel-stains-dapi-anti-pan-ck-anti-cd-45-1-standard-1-2-0,no verified bundle URL (see notes)
tenx_mouse_tissue_microarray_in_3x3_layout_with_1,Visium,Mouse,"Lung, Brain",https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-1-mm-edge-to-edge-spacing-ffpe-2-standard,several tissues on one capture area; tissue is per-section
tenx_mouse_tissue_microarray_in_3x3_layout_with_2,Visium,Mouse,"Lung, Brain",https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-3x3-layout-with-2-mm-edge-to-edge-spacing-ffpe-2-standard,several tissues on one capture area; tissue is per-section
tenx_mouse_tissue_microarray_in_5x5_layout_with_1,Visium,Mouse,"Kidney, Brain",https://www.10xgenomics.com/datasets/mouse-tissue-microarray-in-5x5-layout-with-1-mm-edge-to-edge-spacing-ffpe-2-standard,several tissues on one capture area; tissue is per-section
tenx_multiomic_integration_neuroscience_applicati,Visium,Mouse,Brain,https://www.10xgenomics.com/datasets/multiomic-integration-neuroscience-application-note-visium-for-ffpe-plus-immunofluorescence-alzheimers-disease-mouse-model-brain-coronal-sections-from-one-hemisphere-over-a-time-course-1-standard,not on the CDN: image
tenx_visium_hd_cytassist_11mm_human_colon_cancer_,Visium HD,Human,Colon,https://www.10xgenomics.com/datasets/visium-hd-cytassist-11mm-human-colon-cancer-he,no verified bundle URL (see notes)
tenx_visium_hd_cytassist_11mm_human_ovarian_cance,Visium HD,Human,Ovary,https://www.10xgenomics.com/datasets/visium-hd-cytassist-11mm-human-ovarian-cancer-if,no verified bundle URL (see notes)
tenx_visium_hd_cytassist_11mm_human_ta,Visium HD,Human,"Lung, Breast, Colon",https://www.10xgenomics.com/datasets/visium-hd-cytassist-11mm-human-ta,no verified bundle URL (see notes)
tenx_visium_hd_three_prime_arabidopsis,Visium HD,Arabidopsis thaliana,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-arabidopsis,plant tissue; the donor/tissue schema is animal-oriented
tenx_visium_hd_three_prime_human_mouse_xenograft_,Visium HD,"Mouse, Human",Flank (subcutaneous),https://www.10xgenomics.com/datasets/visium-hd-three-prime-human-mouse-xenograft-fresh-frozen,two species on one capture area (xenograft); organism is per-row
tenx_visium_hd_three_prime_soybean,Visium HD,Soybean,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-soybean,plant tissue; the donor/tissue schema is animal-oriented
