dataset_id,species,tissue,outs_url,outs_bytes,xoa,sample,morphology_layout,protein,skip_reason
breastcancerilc__xenium,Human,Breast,https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_ILC/Xenium_V1_FFPE_Human_Breast_ILC_outs.zip,16267681926,1.0.2,Xenium_V1_FFPE_Human_Breast_ILC,file,no,
tenx_ffpe_human_breast_using_the_entire_sample_ar,Human,Breast,https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FFPE_Human_Breast_IDC_Big_1/Xenium_V1_FFPE_Human_Breast_IDC_Big_1_outs.zip,51856022931,1.0.2,Xenium_V1_FFPE_Human_Breast_IDC_Big_1,file,no,
yao2023_xenium,mouse,brain / cortex,https://cf.10xgenomics.com/samples/xenium/1.0.2/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP/Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP_outs.zip,3479544713,1.0.2,Xenium_V1_FF_Mouse_Brain_Coronal_Subset_CTX_HP,file,no,
tenx_xenium_ffpe_human_breast_with_custom_add_on_,Human,Breast,https://cf.10xgenomics.com/samples/xenium/1.3.0/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon/Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs.zip,26997416969,1.3.0,Xenium_V1_FFPE_Human_Breast_IDC_With_Addon,file,no,
tenx_xenium_human_brain_preview_data_1_standard,Human,Brain,https://cf.10xgenomics.com/samples/xenium/1.3.0/Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon/Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon_outs.zip,7567057067,1.3.0,Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon,file,no,
mouse_brain_hemi2025_xenium,mouse,brain hemisphere,https://cf.10xgenomics.com/samples/xenium/1.4.0/Xenium_V1_FFPE_wildtype_5_7_months/Xenium_V1_FFPE_wildtype_5_7_months_outs.zip,5817958520,1.4.0,Xenium_V1_FFPE_wildtype_5_7_months,file,no,
tenx_xenium_in_situ_analysis_of_alzheimers_diseas,Mouse,Brain,https://cf.10xgenomics.com/samples/xenium/1.4.0/Xenium_V1_FFPE_TgCRND8_17_9_months/Xenium_V1_FFPE_TgCRND8_17_9_months_outs.zip,6046328135,1.4.0,Xenium_V1_FFPE_TgCRND8_17_9_months,file,no,
tenx_human_kidney_preview_data_xenium_human_multi,Human,Kidney,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hKidney_nondiseased_section/Xenium_V1_hKidney_nondiseased_section_outs.zip,5069771406,1.5.0,Xenium_V1_hKidney_nondiseased_section,file,no,
tenx_human_lung_cancer_preview_data_xenium_human_,Human,Lung,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLung_cancer_section/Xenium_V1_hLung_cancer_section_outs.zip,9091405304,1.5.0,Xenium_V1_hLung_cancer_section,file,no,
tenx_human_lymph_node_preview_data_xenium_human_m,Human,Lymph Node,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLymphNode_nondiseased_section/Xenium_V1_hLymphNode_nondiseased_section_outs.zip,7378404737,1.5.0,Xenium_V1_hLymphNode_nondiseased_section,file,no,
tenx_human_pancreas_preview_data_xenium_human_mul,Human,Pancreas,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hPancreas_nondiseased_section/Xenium_V1_hPancreas_nondiseased_section_outs.zip,4660108035,1.5.0,Xenium_V1_hPancreas_nondiseased_section,file,no,
tenx_human_colon_preview_data_xenium_human_colon_,Human,Intestine (colon),https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hColon_Non_diseased_Add_on_FFPE/Xenium_V1_hColon_Non_diseased_Add_on_FFPE_outs.zip,13626095120,1.6.0,Xenium_V1_hColon_Non_diseased_Add_on_FFPE,file,no,
tenx_human_skin_preview_data_xenium_human_skin_ge,Human,Skin,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hSkin_Melanoma_Base_FFPE/Xenium_V1_hSkin_Melanoma_Base_FFPE_outs.zip,6249559913,1.6.0,Xenium_V1_hSkin_Melanoma_Base_FFPE,file,no,
tenx_pancreatic_cancer_with_xenium_human_multi_ti,Human,Pancreas,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hPancreas_Cancer_Add_on_FFPE/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs.zip,7288256844,1.6.0,Xenium_V1_hPancreas_Cancer_Add_on_FFPE,file,no,
xenium_on_a_one__xenium,mouse,mouse pup,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_mouse_pup/Xenium_V1_mouse_pup_xe_outs.zip,11116636297,1.6.0,Xenium_V1_mouse_pup,file,no,
hn_xenium,Human,Heart,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hHeart_nondiseased_section_FFPE/Xenium_V1_hHeart_nondiseased_section_FFPE_outs.zip,3456638778,1.9.0,Xenium_V1_hHeart_nondiseased_section_FFPE,file,no,
